"","PROLIFIC_PID","I.would.feel.a.sense.of.loss.if.an.intelligent.system.was.unavailable.and.I.could.no.longer.use.it.","Intelligent.systems.help.me.to.understand.the.world.around.me.","Intelligent.systems.help.me.to.plan.","I.spend.a.lot.of.my.time.interacting.with.intelligent.systems.on.an.average.day.","I.m.concerned.that.intelligent.systems.will.collect.too.much.personal.information.from.me.","I.worry.that.intelligent.systems.will.lead.to.a.surveillance.state.","I.m.worried.about.the.general.safety.of.intelligent.systems.","I.am.suspicious.of.an.intelligent.system.s.action..or.outputs.","I.have.the.knowledge.necessary.to.use.intelligent.systems.","I.find.it.easy.to.learn.to.use.new.intelligent.systems.","Intelligent.systems.are.difficult.to.navigate.","I.find.intelligent.systems.easy.to.use.","Truck.driving.should.be.left.to.humans.rather.being.handled.by.a.system.","Deliveries.of.products.to.customers.can.only.be.done.by.humans.","I.would.not.use.a.self.driving.driverless.car.as.my.primary.means.of.transportation.","Final.decisions.about.who.to.hire.for.a.job.should.be.made.by.qualified.people.and.not.by.automated.hiring.systems.","When.sentencing.persons.convicted.of.crimes..automated.systems.should.be.used.instead.of.human.judges.or.juries.","Automated.education.systems.are.more.effective.than.human.led.classrooms.","Music.streaming.applications.have.the.ability.to.make.music.recommendations.for.me.that.I.will.enjoy.","When.shopping.online.personalized.computer.generated.ads.are.very.helpful.recommendations.","Social.media.feeds.are.useful.for.suggesting.content.that.I.would.like","abilitySub","integritySub","understandingSub","intTotal","abilityDiff","integrityDiff","understandingDiff","intTotalDiff","transportSub","decisionSub","socialSub","specTotal","transportDiff","decisionDiff","socialDiff","Final.Dot.Difference","Num.Of.Trials","Choice.of.Human","Choice.of.Algorithm","Human.Trials.Changed.to.Algor","Algor.Trials.Changed.to.Human","Algor.Default.Trials.Not.Changed","Human.Default.Trials.Not.Changed","Block.4.Human.Acc","Block.4.Algor.Acc","Human.Choice.After.Block.4","Algor.Choice.After.Block.4","Advisor.Changed","Left.Box.Chosen","Preference.Strength","Max.Cj","Min.Cj","Cj.Range","Num.of.Unique.Cj.Values","Advice.Ignored.Trials","Mean.Cj.Change","Cj1.Mean.Resolution","Cj2.Mean.Resolution","Mean.Cj1.Accuracy","Mean.Cj2.Accuracy","Sway.of.Human.Advice","Sway.of.Algor.Advice","Mean.RT1","Mean.RT2","Mean.CTC","AccQuant1","AccQuant2","AccQuant3","AccQuant4","AdvQuant1","AdvQuant2","AdvQuant3","AdvQuant4","CjQuant1","CjQuant2","CjQuant3","CjQuant4","Mean.Cj1","Mean.Cj2","St.Dev.Cj1","St.Dev.Cj2","Human.Agreed..","Algor.Agreed..","Algor.Agreed...Diff","Human.Agreed.Conf.Diff","Algor.Agreed.Conf.Diff","Human.Disagreed.Conf.Diff","Algor.Disagreed.Conf.Diff","Algor.Relative.Influence","dd.Block.1.End","dd.Block.2.End","Block.1.Accuracy","Block.2.Accuracy","The.human.advisor.is.reliable.","I.am.confident.in.the.human.advisor.","I.can.trust.the.human.advisor.","The.human.advisor.is.dependable.","The.computer.advisor.is.reliable.","I.am.confident.in.the.computer.advisor.","I.can.trust.the.computer.advisor.","The.computer.advisor.is.dependable.","This.task.would.be.much.harder.without.an.advisor.","I.believe.the.human.s.advice.was.from.a.real.person.who.was.a.past.participant.","I.believe.the.computer.s.advice.was.from.a.real.algorithm.","I.feel.that.the.task.was.too.easy.","humanTrustReport","algorTrustReport","algorTrustDiff","influenceR","humanAgConfDiffR","humanDisConfDiffR","algorAgConfDiffR","algorDisConfDiffR"
"1","58dff341282ab00001e9ce26",4,4,5,5,4,5,5,4,5,6,6,6,2,4,2,4,2,4,5,4,5,18,18,23,59,2,2,7,11,8,10,14,32,-4,-2,2,14,240,0.5,0.5,0,0,1,1,0.733,0.767,0.5,0.5,0,0.35,0,39,3,36,30,58,3.446,6.8,7.653,0.642,0.629,2.789,2.075,1.451,1.077,3.09,0.783,0.692,0.636,0.528,0.517,0.5,0.582,0.415,0.25,0.217,0.229,0.221,14.571,16.377,7.14,9.418,0.625,0.55,-0.075,2.417,-2.5,3.429,-1.556,0.067,13,14,0.733,0.667,3,3,3,2,3,3,3,2,3,3,4,2,11,11,0,2.59818181818182,0.72,0.666666666666667,1.31818181818182,-1.33333333333333
"2","592c3fb1899457000144c57f",4,2,5,5,2,3,3,4,5,3,5,5,3,6,4,1,1,2,6,5,3,16,12,18,46,0,-4,2,-2,13,4,14,31,1,-8,2,10,240,0.981,0.019,0.0125,0.975,0.025,0.9875,0.771,0.75,0.983,0.017,0.49375,0.604,0.481,44,1,43,32,3,7.692,1.881,2.11,0.688,0.754,0.906,0.757,1.722,1.819,3.824,0.729,0.653,0.542,0.778,0.186,0.163,0.125,0.222,0.246,0.204,0.2,0.225,14.425,17.524,6.907,9.589,0.821,0.78,-0.04,-1.12,-0.75,-0.143,-0.778,1.005,14,10,0.633,0.767,4,4,3,4,3,2,2,2,4,3,3,1,15,9,-6,-4.7177807486631,7.45454545454545,-15.5882352941176,6.2,-12.125
"3","5aeb368c2dd3400001786f61",6,5,5,3,6,6,3,5,7,7,7,7,7,7,7,1,1,2,6,6,5,19,20,28,67,3,4,12,19,21,4,17,42,9,-8,5,14,240,0,1,1,0,1,0,0.778,0.667,0,1,0.5,0.625,0.5,50,4,46,39,0,13.3,0.433,3.73,0.792,0.783,0.618,1.974,1.726,1.655,3.66,0.933,0.754,0.607,0.867,0.833,0.772,0.875,0.9,0.25,0.237,0.233,0.25,22.438,29.402,9.544,14.695,0.769,0.756,-0.013,-3.8,-4.714,12.889,5.7,6.275,14,14,0.567,0.633,4,2,3,2,4,4,4,4,5,2,2,1,11,16,5,3.6237922705314,12.3478260869565,-17.125,14.6521739130435,-18.4444444444444
"4","5b22abb49997ca0001c600ae",1,4,3,2,3,1,3,3,3,3,3,3,4,6,7,1,1,1,5,5,4,10,10,12,32,-6,-6,-4,-16,17,3,14,34,5,-9,2,15,240,0.5,0.5,0.175,0.175,0.825,0.825,0.657,0.64,0.467,0.533,0.175,0.475,0,44,1,43,35,21,4.625,0.7,1.819,0.692,0.717,0.658,0.059,1.275,1.271,3.276,0.776,0.655,0.581,0.788,0.569,0.455,0.488,0.462,0.242,0.229,0.179,0.217,10.879,12.224,8.267,9.655,0.81,0.789,-0.02,-0.7,-0.654,-0.5,2.375,-2.829,14,15,0.533,0.433,2,3,3,2,3,3,3,4,5,1,4,1,10,13,3,3.05422714540362,2.81818181818182,-9.15,3.9047619047619,-11.1176470588235
"5","5be1b1f951a5be0001fdf44d",7,3,6,7,2,5,1,7,7,7,4,6,1,6,1,1,2,1,7,1,4,23,15,24,62,7,-1,8,14,8,4,12,24,-4,-8,0,14,240,0.95,0.05,0,0.9,0.1,1,0.745,0.615,0.958,0.042,0.45,0.575,0.45,50,1,49,31,37,4.417,0.488,17.58,0.754,0.712,2.094,0.967,1.364,1.39,3.409,0.759,0.741,0.736,0.763,0.185,0.204,0.283,0.119,0.225,0.225,0.221,0.246,32.704,35.487,6.393,4.738,1,1,0,-2.094,-0.967,NA,NA,NA,15,14,0.467,0.5,1,3,4,2,4,3,5,4,2,4,5,2,10,16,6,0.912878787878782,3.04545454545455,-67.1666666666667,2.875,-68.25
"6","5c46e8de59a3a60001a265e8",5,4,4,3,2,3,4,5,5,5,5,5,7,6,7,2,4,4,5,5,4,16,14,20,50,0,-2,4,2,20,10,14,44,8,-2,2,13,240,0,1,1,0,1,0,0.909,0.735,0,1,0.5,0.463,0.5,39,5,34,33,2,10.112,8.074,12.996,0.825,0.842,3.975,0.205,1.296,1.247,3.253,0.944,0.855,0.766,0.769,0.796,0.8,0.83,0.865,0.225,0.229,0.196,0.217,16.254,21.823,6.696,11.618,0.75,0.6,-0.15,-4.8,-2.391,-1.5,2.938,-2.029,14,13,0.6,0.7,4,3,3,4,4,3,3,4,4,4,4,2,14,14,0,2.6572842362316,11.8888888888889,-7.23076923076923,11.1578947368421,-10.6190476190476
"7","5c474d6ca8703f0001b6cf26",3,4,6,3,2,2,2,3,5,5,3,3,2,3,4,3,1,5,5,5,6,16,9,16,41,0,-7,0,-7,9,9,16,34,-3,-3,4,15,240,0.381,0.619,0.425,0.1875,0.8125,0.575,0.565,0.676,0.408,0.592,0.30625,0.458,0.119,50,3,47,34,99,8.046,14.72,20.682,0.788,0.742,0.359,0.447,1.582,1.344,3.354,0.933,0.729,0.636,0.847,0.517,0.627,0.564,0.593,0.25,0.246,0.229,0.246,42.208,44.735,9.895,9.751,0.829,0.795,-0.034,-0.031,-1.067,-1.857,1.875,-4.768,15,15,0.667,0.667,4,3,4,4,4,4,4,4,2,5,1,4,15,16,1,-10.2392307692308,6.17857142857143,-41.7692307692308,5.28,-32.4285714285714
"8","5c618b9f21fb620001408d79",3,5,3,3,3,5,5,3,3,3,3,3,2,1,2,1,1,2,7,5,5,14,16,12,42,-2,0,-4,-6,5,4,17,26,-7,-8,5,13,240,0.662,0.338,0.125,0.45,0.55,0.875,0.773,0.75,0.592,0.408,0.2875,0.733,0.162,50,1,49,47,9,7.821,3.918,2.207,0.825,0.846,3.684,2.769,1.486,1.594,3.603,1,0.816,0.491,0.982,0.421,0.388,0.436,0.291,0.237,0.204,0.229,0.229,19.038,25.776,12.732,14.273,0.795,0.707,-0.088,-5.133,-3.704,1.75,-0.667,3.846,15,13,0.667,0.7,4,4,4,4,4,4,4,4,4,4,4,2,16,16,0,-2.30371352785146,10.0344827586207,-2.9,8.23076923076923,-2.4
"9","5c66cc9246bfc200019044b8",4,3,5,5,3,6,4,4,5,6,4,6,3,5,5,2,1,5,6,4,5,17,17,21,55,1,1,5,7,13,8,15,36,1,-4,3,14,240,0.15,0.85,0.8625,0.1625,0.8375,0.1375,0.706,0.767,0.133,0.867,0.5125,0.646,0.35,49,1,48,48,51,10.079,2.548,8.363,0.804,0.804,0.462,2.657,1.812,1.636,3.66,0.927,0.78,0.554,0.946,0.6,0.763,0.839,0.786,0.229,0.246,0.233,0.233,19.471,29.514,14.736,8.775,0.641,0.829,0.188,1.36,4.821,-3.714,-6,5.747,15,14,0.633,0.6,2,4,2,3,4,4,3,4,5,1,2,3,11,15,4,25.611004784689,6,2.8,8.86363636363636,-19.9473684210526
"10","5c6aa1774b5bb30001b3d699",3,5,3,4,2,2,2,4,4,4,5,4,1,4,2,3,4,2,7,5,6,15,10,17,42,-1,-6,1,-6,7,9,18,34,-5,-3,6,15,240,0.512,0.488,0,0.025,0.975,1,0.6,0.633,0.517,0.483,0.0125,0.583,0.012,50,4,46,46,68,3.15,0.665,1.241,0.733,0.75,1.189,1.275,3.294,2.985,4.997,0.825,0.644,0.684,0.776,0.491,0.475,0.439,0.552,0.237,0.246,0.237,0.242,34.483,36.519,11.934,11.371,0.7,0.575,-0.125,-1.88,2.13,0.25,0.118,4.143,15,15,0.667,0.567,3,4,4,4,2,3,4,3,4,3,4,2,15,12,-3,-7.67171717171717,3.4,-9.26666666666667,3.27272727272727,-1.72222222222222
"11","5c87a8183e93bf0001e1582c",5,4,5,4,1,3,1,2,3,5,4,5,2,3,2,1,3,2,5,4,4,18,7,17,42,2,-9,1,-6,7,6,13,26,-5,-6,1,14,240,0.55,0.45,0,0.1,0.9,1,0.625,0.571,0.542,0.458,0.05,0.467,0.05,50,7,43,43,10,9.004,0.361,0.912,0.862,0.871,0.757,2.632,3.11,2.615,4.629,0.93,0.81,0.719,1,0.491,0.414,0.526,0.433,0.237,0.242,0.237,0.25,25.504,31.241,11.825,14.545,0.8,0.675,-0.125,0.828,0.462,0.5,-9.333,9.467,14,14,0.667,0.567,4,4,4,4,2,1,3,2,1,3,2,2,16,8,-8,-7.45809523809524,8.82142857142857,-10.5833333333333,8.88,-3.06666666666667
"12","5c87baccd7c01f001660dcd8",4,2,5,3,4,4,5,5,4,4,5,4,5,5,5,4,4,4,5,4,5,14,18,17,49,-2,2,1,1,15,12,14,41,3,0,2,12,240,0.463,0.537,0.1375,0.0625,0.9375,0.8625,0.742,0.793,0.45,0.55,0.1,0.371,0.037,50,2,48,40,34,3.242,16.125,18.719,0.771,0.775,0.105,0.256,1.689,1.555,3.577,0.915,0.684,0.736,0.727,0.542,0.491,0.566,0.509,0.246,0.237,0.221,0.229,32.988,32.15,8.619,9.278,0.6,0.55,-0.05,1,-0.19,-1.625,0.778,-3.593,15,12,0.667,0.7,1,2,2,2,1,2,2,2,1,5,5,1,7,7,0,1.1989898989899,-1.45454545454545,-7.05555555555556,0.25,-6.55
"13","5cb8bade96f5cc00170f04b2",5,5,5,5,2,3,3,4,5,6,5,6,3,3,3,3,3,3,6,5,6,20,12,22,54,4,-4,6,6,9,9,17,35,-3,-3,5,15,240,0.963,0.037,0.025,0.95,0.05,0.975,0.717,0.714,0.983,0.017,0.4875,0.517,0.463,40,3,37,37,0,6.417,7.49,8.51,0.846,0.862,1.333,1.878,1.427,1.537,3.544,0.926,0.912,0.732,0.86,0.222,0.175,0.161,0.105,0.225,0.237,0.233,0.237,19.35,22.159,7.657,9.745,0.744,0.732,-0.012,-2.379,-3.1,1.7,1.455,-0.475,14,15,0.633,0.6,3,4,4,3,3,3,3,3,4,4,4,2,14,12,-2,-0.210289710289711,6.42857142857143,-6.54545454545455,6.07142857142857,-6.69230769230769
"14","5d26d07028899100016eb25c",5,6,5,5,2,2,3,3,6,6,5,6,5,6,3,2,2,6,6,6,5,21,10,23,54,5,-6,7,6,14,10,17,41,2,-2,5,14,240,0.025,0.975,0.95,0,1,0.05,0.769,0.723,0.008,0.992,0.475,0.371,0.475,34,5,29,26,17,4.221,8.856,5.39,0.788,0.788,1.075,0.487,1.545,1.456,3.461,0.965,0.694,0.673,0.911,0.877,0.755,0.855,0.821,0.237,0.204,0.229,0.233,16.804,14.042,5.472,5.551,0.8,0.775,-0.025,-0.656,-0.433,-2.75,-0.667,-1.86,14,14,0.7,0.633,4,4,4,4,4,4,3,4,2,2,2,2,16,15,-1,1.23809523809524,-1.32142857142857,-11,0,-10.9166666666667
"15","5d45dfff082935001aed2fe7",5,6,6,4,5,5,4,4,3,6,1,6,6,2,4,4,5,5,5,4,6,21,18,16,55,5,2,0,7,12,14,15,41,0,2,3,15,240,0.494,0.506,0.0125,0,1,0.9875,0.857,0.656,0.5,0.5,0.00625,0.221,0.006,32,7,25,25,18,4.346,8.072,5.489,0.633,0.717,1.081,1.9,0.828,0.785,2.79,0.855,0.552,0.641,0.6,0.473,0.534,0.538,0.52,0.229,0.242,0.163,0.208,17.825,16.974,4.729,6.089,0.744,0.854,0.11,-0.036,-2.343,-4.333,1.2,-7.84,15,15,0.367,0.6,4,4,4,4,5,4,4,4,3,5,4,1,16,17,1,6.72487922705314,-1.75,-15.2666666666667,-0.869565217391304,-21.1111111111111
"16","5d5a7d896c04b2001a1edff8",1,2,5,5,1,6,6,2,3,3,3,3,1,1,2,1,2,2,6,6,5,13,15,12,40,-3,-1,-4,-8,4,5,17,26,-8,-7,5,13,240,0.969,0.031,0.0125,0.95,0.05,0.9875,0.689,0.733,1,0,0.48125,0.625,0.469,42,1,41,29,0,10.938,1.267,2.412,0.662,0.704,4.75,4.324,1.427,1.409,3.427,0.807,0.581,0.5,0.771,0.193,0.209,0.179,0.167,0.237,0.179,0.233,0.2,9.979,18.705,6.08,12.223,0.825,0.8,-0.025,-6.414,-6.103,2.143,2.125,0.328,13,13,0.567,0.633,4,3,4,2,2,2,3,2,4,4,4,2,13,9,-4,-2.52797798961482,15.5217391304348,-11.2941176470588,16.4545454545455,-7.83333333333333
"17","5d8794b64a462d001a65469d",2,4,5,3,1,2,1,2,3,4,6,6,5,7,4,1,1,2,6,5,1,14,6,19,39,-2,-10,3,-9,16,4,12,32,4,-8,0,8,240,0.4,0.6,0.6375,0.4375,0.5625,0.3625,0.739,0.649,0.433,0.567,0.5375,0.275,0.1,46,1,45,35,30,8.792,0.641,0.474,0.642,0.658,2.244,5.5,4.031,3.66,5.671,0.805,0.5,0.564,0.685,0.488,0.556,0.615,0.519,0.171,0.15,0.163,0.225,8.075,13.955,8.915,14.299,0.78,0.795,0.014,-0.938,6.792,-6.889,1.625,-0.785,12,8,0.633,0.767,1,1,1,1,1,1,1,1,3,4,4,2,4,4,0,-10.0155502392345,14.8181818181818,-9.26315789473684,7.31578947368421,-6.75
"18","5d8b81a04733e500170bfcd7",3,5,5,3,3,3,3,4,5,5,5,4,5,5,4,4,4,3,4,3,4,16,13,19,48,0,-3,3,0,14,11,11,36,2,-1,-1,12,240,0.35,0.65,0.3,0,1,0.7,0.889,0.647,0.467,0.533,0.15,0.438,0.15,18,1,17,16,48,1.975,3.438,3.817,0.842,0.862,0.39,0.308,1.197,1.108,3.126,0.906,0.952,0,0.797,0.491,0.714,0,0.593,0.221,0.175,0,0.246,6.254,7.216,2.307,3.802,0.634,0.667,0.033,0.346,0.077,0.467,0.769,-0.572,12,12,0.767,0.7,2,2,2,3,2,2,2,3,1,4,3,2,9,9,0,0.292044817927171,0.333333333333333,-1.41176470588235,0.68,-1.35714285714286
"19","5d962de43d59240015f2e606",4,5,4,5,2,2,3,2,6,5,5,6,3,5,1,2,4,1,5,3,2,18,9,22,49,2,-7,6,1,9,7,10,26,-3,-5,-2,13,240,0.5,0.5,0,0,1,1,0.867,0.6,0.5,0.5,0,0.217,0,16,4,12,13,93,0.833,0.598,0.199,0.467,0.642,0.514,0.667,3.064,2.678,4.695,0.527,0,0.342,0.609,0.473,0,0.579,0.413,0.229,0,0.158,0.192,8.254,7.647,1.897,1.869,0.927,0.846,-0.081,-0.559,-0.767,0,-0.167,-0.041,14,13,0.667,0.633,4,4,4,3,3,2,3,3,4,4,3,2,15,11,-4,-1.3100845410628,-0.111111111111111,-13.1739130434783,0.1875,-11.5652173913043
"20","5dc015e49db86f45df7a0077",5,5,5,6,2,3,2,2,2,3,4,4,6,7,6,2,6,2,6,2,5,21,9,13,43,5,-7,-3,-5,19,10,13,42,7,-2,1,9,240,0.444,0.556,0.5125,0.4,0.6,0.4875,0.645,0.724,0.425,0.575,0.45625,0.425,0.056,50,8,42,33,141,1.525,7.846,7.001,0.725,0.712,0.049,0.026,3.98,1.846,3.85,0.831,0.731,0.54,0.793,0.475,0.596,0.44,0.603,0.246,0.217,0.208,0.242,35.746,35.929,10.349,10.837,0.659,0.667,0.008,-0.37,-0.192,0.857,0.462,0.574,7,9,0.8,0.633,3,3,4,4,2,1,2,2,2,2,2,3,14,7,-7,-0.0897435897435894,0.666666666666667,-1,0.0384615384615385,-1.53846153846154
