PROLIFIC_PID,age,Nationality,Sex
5ea89875a09cad2e96886d84,23,Portugal,Female
5c755dae2dc85100015025b2,27,Israel,Male
5fc185a6c37dd823c306b4f1,21,Poland,Male
5d962de43d59240015f2e606,28,Italy,Male
5e8f8865b7c5540ed1d3fcd1,22,Poland,Male
5e2790f18459669c2c6b1736,20,Greece,Male
5fbae815234c06b97ab0e8fe,22,Italy,Female
5b22abb49997ca0001c600ae,34,Belgium,Male
5dc4b80162ec503817640faf,21,Lithuania,Female
5ece15c8c5284b19beb23d71,36,Hungary,Female
5e8529aa0a340d10f4af649e,20,Poland,Male
5d8794b64a462d001a65469d,24,Portugal,Male
5ddeaaf9f30aa6e2e945abba,24,Greece,Male
5a67979f31b87a0001c73bc5,30,Ireland,Female
5f63b3bdfcaaa10e5a8d7e5a,22,Poland,Female
5e4a932344498f4e361fee0d,22,Portugal,Male
5964ee31b752840001ca4ba4,50,United Kingdom,Female
5fa4721c8826280efc7ea386,19,Portugal,Male
5fa96f51cb7b4910d50f083b,20,Spain,Male
5772908d908f1d0001c38893,36,United Kingdom,Female
5f8c6db7effb9e3ce1b7f633,23,United Kingdom,Female
5eb14f05f30ede03a6ed7d27,21,Armenia,Female
5ea83c6fefba0523e9c027b9,26,Italy,Female
5f73427f244c770277ba2a5d,22,Poland,Male
5c87baccd7c01f001660dcd8,26,Indonesia,Male
5f8040a15e9c0003ae16dc31,22,Portugal,Female
5f973a30ff83410e76a91c16,28,CONSENT REVOKED,CONSENT REVOKED
5fa3210b4af86b5dd1b57153,25,CONSENT REVOKED,CONSENT REVOKED
5f07267fa81c732d460fc24e,23,Australia,Male
5f209bb12cf3543aed1fee25,25,Portugal,Female
5f1ada2167c7af0009073176,23,Poland,Male
5c6aa1774b5bb30001b3d699,23,Ghana,Female
5f9742fcd891550f11b39df5,26,Portugal,Male
5d5a7d896c04b2001a1edff8,23,Spain,Female
5cb8bade96f5cc00170f04b2,21,Portugal,Female
5fa51a633c63b41d455f79b5,37,United Kingdom,Male
5ed500da05bbbb048389cd9f,20,Portugal,Male
5f8567ed916759000a735627,22,Poland,Female
5c66cc9246bfc200019044b8,31,Hungary,Male
5f35050d72e95343c64aef66,50,United Kingdom,Female
5e676b124b800e000cb34228,19,Poland,Male
5eb68494d573b5580cc2d1ac,21,Poland,Male
5fa5a0923385ff0cc614724b,26,CONSENT REVOKED,CONSENT REVOKED
5e4dc0e1506e2f222ce980be,21,Greece,Male
5f46c41bc6a7d0083e3564ca,41,CONSENT REVOKED,CONSENT REVOKED
5f4ff8efa8de8e14c2cd6e0b,25,Israel,DATA EXPIRED
5f3167efac2e4b000a6baa04,25,Switzerland,Female
5f805400d51803055cff78f0,21,Italy,Female
5e72db2782efd522c37d4a77,23,Portugal,Male
5e35e1e5077089582bae3a34,19,Norway,Male
5fa88ca41b1a9d747073bd27,27,Portugal,Male
5fa472cf29a8e70f22c5d521,21,South Africa,Female
5eef6be6d9005144df0e66cc,21,China,Female
5e8dddaf3d1b57068b77b2f2,19,Latvia,Female
5ec839d3a4474212eeb466fd,35,South Africa,Male
5fa0b8fd4cbe9714ce04cb54,31,Malaysia,Male
5eab0df319a24d0af1de72dd,19,Greece,Female
5e6e8144f49fd8000821e72f,21,Spain,Male
5fb2727f2942a58418fd0d2b,44,South Africa,Female
5fd65131d3a6cd52cea2e57a,42,United Kingdom,Female
5f997fe115909c05af475b09,24,Italy,Male
591710fa22af4d000139e051,37,CONSENT REVOKED,CONSENT REVOKED
5e8f32cb79a8e80727d489a3,20,Poland,Male
5e25529eab132b7bb83842f1,20,CONSENT REVOKED,CONSENT REVOKED
5fa94ee12438bf08ad45f75f,31,Italy,Male
5e64de363b1ae12553598f84,19,United Kingdom,Female
5c618b9f21fb620001408d79,27,United Kingdom,Female
5e53d07dc85a5901e8a08ef4,33,Poland,Male
5f4ec661bb2d6310d4f0917d,20,Portugal,Female
5f439ac86b921f5fac4f55ad,19,CONSENT REVOKED,CONSENT REVOKED
5f8a565874d414118b763b93,18,Spain,Male
5ead79a0f43b4441309657c9,19,Poland,Male
5f936c5531a30e1459f2d51b,19,Poland,Male
5fce7885f324540ad64e2297,27,Greece,Male
5c87a8183e93bf0001e1582c,28,Poland,Female
5f97259ff853640ac8065fd3,27,Poland,Female
5f5c79a330ec6f471bac45dc,33,Italy,Female
5f5a6b4a291dc612a9ab550c,18,Poland,Male
5edd1cfb9a2ae09ff1250c9c,19,Italy,Male
5f25f878b35a042f630d207f,22,United Kingdom,Male
5efb85865214c00f3f582de1,26,United States,Female
5fc0c541c266bd597b286e98,20,Poland,Male
5f2089b7d71bef17cd2d0509,23,Greece,Male
5e2707ab5299ce926cdcc3d9,21,Switzerland,Male
5ef9e842779c727aa03b8354,19,Poland,Female
5eeb8ae62af51132b7987743,19,United Kingdom,Female
5f751b67f9a33b18498b9429,21,Poland,Female
5ee919ad2825f916bae687ae,33,Lebanon,Male
5d26d07028899100016eb25c,36,Israel,Male
5fae41a57aae862a572dfde0,40,United Kingdom,Female
5db31ad45ecc86000da59ace,26,Poland,Female
5fa1c180c81f2833b188b00e,29,Poland,Female
5aeb368c2dd3400001786f61,25,Hungary,Male
5be1b1f951a5be0001fdf44d,23,Poland,Male
5f75b5d059b8cb24aa22cc6f,18,Japan,Male
5f2af42fbc242945b9f7dba9,28,Canada,Female
5e418df8a3b8cc01e3363110,20,Hungary,Female
5f68fc565258c10c30d48db8,19,Sweden,Female
5e47c24de4317f27a1b10996,25,Greece,Male
58dff341282ab00001e9ce26,42,Portugal,Female
5c46e8de59a3a60001a265e8,26,Poland,Male
5e9a166d196ab009eb34bcdd,24,Italy,Female
5f2339c2b41ba40eafd36953,18,Poland,Male
5e68b753e203811578c0a521,31,United Kingdom,Female
5d8b81a04733e500170bfcd7,30,Italy,Female
5eeb40c601b1dc2907bbff74,24,Italy,Female
5fbd433cb6d9240ba9c55548,22,Portugal,Male
5fbe8cb69d4fac0008861fb5,21,Romania,Male
592c3fb1899457000144c57f,30,United Kingdom,Female
5c474d6ca8703f0001b6cf26,21,Portugal,Male
5dc015e49db86f45df7a0077,21,Poland,Male
5ea6b76db2b9b602423a74ba,25,Portugal,Male
5e152c33814bbab3e0eb7371,30,United Kingdom,Male
5ec96e3609117f0a67231842,49,Ireland,Male
5fb50f40340ae6117b78fa62,19,Slovenia,Female
5e9898fe07bacf0a1be91a71,23,Poland,Male
5fa547efe090751e68baced1,25,Greece,Male
5f858743256d25036d9fa693,21,Portugal,Female
5f24289ed102ed000b9f98b0,23,Italy,Male
5d45dfff082935001aed2fe7,23,Italy,Male
5faaebb272441153516e1b27,19,Portugal,Male