PROLIFIC_PID,I would feel a sense of loss if an intelligent system was unavailable and I could no longer use it.,Intelligent systems help me to understand the world around me.,Intelligent systems help me to plan.,I spend a lot of my time interacting with intelligent systems on an average day.,I'm concerned that intelligent systems will collect too much personal information from me.,I worry that intelligent systems will lead to a surveillance state.,I'm worried about the general safety of intelligent systems.,"I am suspicious of an intelligent system's action, or outputs.",I have the knowledge necessary to use intelligent systems.,I find it easy to learn to use new intelligent systems.,Intelligent systems are difficult to navigate.,I find intelligent systems easy to use.,Truck driving should be left to humans rather being handled by a system.,Deliveries of products to customers can only be done by humans.,I would not use a self driving driverless car as my primary means of transportation.,Final decisions about who to hire for a job should be made by qualified people and not by automated hiring systems.,"When sentencing persons convicted of crimes, automated systems should be used instead of human judges or juries.",Automated education systems are more effective than human led classrooms.,Music streaming applications have the ability to make music recommendations for me that I will enjoy.,When shopping online personalized computer generated ads are very helpful recommendations.,Social media feeds are useful for suggesting content that I would like
5d962de43d59240015f2e606,4,5,4,5,6,6,5,6,6,5,3,6,5,3,7,6,4,1,5,3,2
5b22abb49997ca0001c600ae,1,4,3,2,5,7,5,5,3,3,5,3,4,2,1,7,1,1,5,5,4
5ece15c8c5284b19beb23d71,3,4,5,5,6,5,6,6,5,6,3,7,7,3,7,7,1,1,7,5,2
5dc4b80162ec503817640faf,3,4,5,5,3,3,3,5,4,7,2,7,7,3,7,7,1,3,5,3,5
5ea89875a09cad2e96886d84,3,3,5,5,7,5,7,3,7,6,2,7,3,2,3,7,1,1,6,1,5
5fbae815234c06b97ab0e8fe,1,5,4,3,6,3,3,5,7,7,1,6,5,6,6,7,1,2,7,5,5
5fc185a6c37dd823c306b4f1,3,2,5,2,7,7,5,5,7,7,2,7,7,3,4,7,1,4,2,6,5
5e2790f18459669c2c6b1736,2,4,4,7,5,5,3,5,6,6,2,6,4,3,4,6,4,2,6,5,5
5e8f8865b7c5540ed1d3fcd1,2,2,3,5,7,6,5,5,4,5,2,6,5,1,3,7,2,1,3,3,2
5c87baccd7c01f001660dcd8,4,2,5,3,4,4,3,3,4,4,3,4,3,3,3,4,4,4,5,4,5
5772908d908f1d0001c38893,1,4,3,2,5,5,3,5,5,4,4,4,4,1,4,7,1,4,5,1,4
5f1ada2167c7af0009073176,6,5,6,6,6,5,5,5,5,5,5,5,5,4,5,5,5,6,5,4,4
5f3167efac2e4b000a6baa04,4,6,5,5,5,6,5,7,7,7,4,5,4,1,2,6,1,3,6,4,3
5a67979f31b87a0001c73bc5,4,4,4,2,5,5,5,5,5,5,3,5,7,6,7,7,1,1,6,5,4
5e64de363b1ae12553598f84,5,5,6,6,5,5,5,5,6,6,4,6,6,6,6,7,1,1,5,3,4
5fa88ca41b1a9d747073bd27,6,7,7,6,6,4,6,5,7,7,4,6,5,4,6,4,3,3,6,6,6
5f8c6db7effb9e3ce1b7f633,4,4,4,2,6,5,5,5,3,2,5,2,7,3,7,7,1,1,6,3,5
5fd65131d3a6cd52cea2e57a,5,5,5,5,5,3,5,3,5,5,3,5,7,2,5,7,1,1,6,2,3
5ec839d3a4474212eeb466fd,5,6,6,6,5,6,5,6,6,5,5,6,4,2,2,7,4,5,7,5,2
5f25f878b35a042f630d207f,5,7,3,7,6,5,5,2,6,6,5,6,1,1,2,6,2,1,7,3,5
592c3fb1899457000144c57f,4,2,5,5,6,5,5,4,5,3,3,5,5,2,4,7,1,2,6,5,3
5d8794b64a462d001a65469d,2,4,5,3,7,6,7,6,3,4,2,6,3,1,4,7,1,2,6,5,1
5f997fe115909c05af475b09,5,5,6,2,2,2,4,5,5,6,1,6,2,2,2,7,1,2,6,6,5
5e8dddaf3d1b57068b77b2f2,5,4,5,5,7,4,3,5,6,6,2,5,5,4,3,6,3,2,5,2,6
5fa4721c8826280efc7ea386,4,3,6,5,7,6,7,5,5,5,2,6,5,3,3,4,6,2,7,4,5
5f209bb12cf3543aed1fee25,7,6,6,7,5,5,5,4,7,7,2,6,6,6,5,7,1,2,6,6,6
5964ee31b752840001ca4ba4,6,6,6,5,5,5,6,2,6,5,5,5,6,3,6,6,1,5,6,5,5
5c66cc9246bfc200019044b8,4,3,5,5,5,2,4,4,5,6,4,6,5,3,3,6,1,5,6,4,5
5d5a7d896c04b2001a1edff8,1,2,5,5,7,2,2,6,3,3,5,3,7,7,6,7,2,2,6,6,5
5f2089b7d71bef17cd2d0509,5,7,7,6,3,4,5,3,6,6,2,7,1,1,2,5,1,3,7,4,5
5f973a30ff83410e76a91c16,5,6,5,5,6,6,5,5,7,7,2,7,7,6,7,7,2,1,6,4,5
5cb8bade96f5cc00170f04b2,5,5,5,5,6,5,5,4,5,6,3,6,5,5,5,5,3,3,6,5,6
5ed500da05bbbb048389cd9f,4,5,5,5,6,6,6,4,6,7,3,6,3,3,5,4,4,4,6,5,5
5f805400d51803055cff78f0,1,1,4,2,5,5,5,4,5,5,2,6,6,3,7,5,2,1,6,2,6
5be1b1f951a5be0001fdf44d,7,3,6,7,6,3,7,1,7,7,4,6,7,2,7,7,2,1,7,1,4
5eab0df319a24d0af1de72dd,5,5,6,5,6,5,6,3,6,6,2,6,4,5,3,7,1,2,7,4,6
5d8b81a04733e500170bfcd7,3,5,5,3,5,5,5,4,5,5,3,4,3,3,4,4,4,3,4,3,4
5f5a6b4a291dc612a9ab550c,5,4,5,3,6,5,4,4,6,5,4,5,6,6,6,6,4,4,5,2,6
58dff341282ab00001e9ce26,4,4,5,5,4,3,3,4,5,6,2,6,6,4,6,4,2,4,5,4,5
5fa94ee12438bf08ad45f75f,4,5,5,3,4,4,3,5,5,6,3,5,7,6,7,7,1,1,6,4,5
5e4a932344498f4e361fee0d,2,1,3,2,5,5,5,3,6,6,2,6,4,3,3,6,2,4,5,3,5
5edd1cfb9a2ae09ff1250c9c,3,6,5,6,5,4,4,5,7,6,3,5,5,4,3,5,5,2,5,4,5
5f75b5d059b8cb24aa22cc6f,3,3,5,5,6,5,5,5,5,3,3,3,4,2,2,5,3,3,3,2,3
5f8040a15e9c0003ae16dc31,5,6,6,7,5,6,6,5,6,6,3,6,7,5,6,7,4,5,6,6,6
5eef6be6d9005144df0e66cc,5,4,4,2,3,4,2,3,6,5,3,5,3,1,2,3,2,4,7,1,4
5fa472cf29a8e70f22c5d521,5,5,6,7,6,5,6,5,7,7,2,6,5,3,5,7,1,5,6,5,6
5c474d6ca8703f0001b6cf26,3,4,6,3,6,6,6,5,5,5,5,3,6,5,4,5,1,5,5,5,6
5ee919ad2825f916bae687ae,5,2,7,6,5,6,5,5,7,7,2,7,1,2,3,7,3,4,7,3,2
5e35e1e5077089582bae3a34,5,2,6,3,5,6,6,6,6,5,3,5,5,2,5,6,4,5,2,1,5
5aeb368c2dd3400001786f61,6,5,5,3,2,2,5,3,7,7,1,7,1,1,1,7,1,2,6,6,5
5fae41a57aae862a572dfde0,1,4,4,1,6,5,6,6,4,4,4,4,7,4,7,7,1,1,3,1,1
5eeb8ae62af51132b7987743,6,6,7,7,5,6,5,5,7,7,1,7,7,6,5,7,6,1,7,6,7
5d26d07028899100016eb25c,5,6,5,5,6,6,5,5,6,6,3,6,3,2,5,6,2,6,6,6,5
5f63b3bdfcaaa10e5a8d7e5a,5,5,6,6,5,3,4,5,7,5,3,6,5,2,3,7,1,5,7,5,6
5db31ad45ecc86000da59ace,4,4,4,5,6,4,6,5,5,4,4,4,6,6,4,6,2,3,5,4,5
5f07267fa81c732d460fc24e,2,1,4,6,7,7,5,7,7,5,6,7,5,4,2,7,1,1,6,3,2
5e9a166d196ab009eb34bcdd,3,6,6,6,5,3,4,3,6,7,2,6,3,2,5,7,1,1,6,6,6
5f35050d72e95343c64aef66,5,4,2,4,7,5,7,5,5,5,3,5,7,7,7,7,1,1,6,6,7
5ea83c6fefba0523e9c027b9,3,5,6,1,7,4,6,4,5,5,4,5,5,3,6,7,1,1,7,5,4
591710fa22af4d000139e051,3,4,4,4,6,5,3,3,5,5,3,5,5,3,3,7,2,2,5,4,5
5c46e8de59a3a60001a265e8,5,4,4,3,6,5,4,3,5,5,3,5,1,2,1,6,4,4,5,5,4
5c6aa1774b5bb30001b3d699,3,5,3,4,6,6,6,4,4,4,3,4,7,4,6,5,4,2,7,5,6
5f8a565874d414118b763b93,1,5,3,3,7,6,7,5,6,6,3,6,4,3,5,4,3,1,6,5,7
5e8529aa0a340d10f4af649e,2,1,5,2,7,4,5,5,7,6,4,5,7,4,7,7,3,1,7,1,5
5fbe8cb69d4fac0008861fb5,5,5,6,6,7,7,6,5,7,7,2,6,4,4,3,7,2,6,7,5,1
5e47c24de4317f27a1b10996,4,4,5,3,6,6,6,5,7,6,2,6,2,1,4,4,4,2,7,4,5
5fc0c541c266bd597b286e98,7,6,7,6,2,2,2,2,6,6,2,6,2,1,2,7,2,2,7,5,2
5e8f32cb79a8e80727d489a3,5,4,4,3,5,5,5,5,5,6,2,6,6,3,3,7,1,1,5,4,4
5fa51a633c63b41d455f79b5,2,4,5,5,7,7,7,6,6,6,2,6,7,6,7,7,1,1,6,2,1
5f68fc565258c10c30d48db8,5,5,6,4,6,5,5,5,5,4,3,5,4,2,5,7,3,2,5,4,3
5f8567ed916759000a735627,3,3,5,3,5,3,6,5,5,6,3,5,6,3,5,6,3,3,7,6,6
5eeb40c601b1dc2907bbff74,3,4,5,6,5,2,4,4,5,6,3,6,3,2,2,3,5,2,5,5,6
5fa0b8fd4cbe9714ce04cb54,4,4,5,5,5,6,5,5,4,5,4,5,4,2,4,5,3,4,5,5,5
5e418df8a3b8cc01e3363110,5,5,4,5,7,4,4,3,7,6,2,6,6,4,7,7,1,2,7,5,6
5ddeaaf9f30aa6e2e945abba,4,5,5,5,5,5,3,4,6,6,3,5,2,1,3,6,3,3,2,1,1
5f2af42fbc242945b9f7dba9,2,4,4,5,6,6,6,5,6,6,3,6,5,4,4,4,6,5,3,5,5
5e68b753e203811578c0a521,5,6,6,5,7,5,4,5,6,6,3,5,7,2,5,7,2,3,5,3,4
5e53d07dc85a5901e8a08ef4,5,5,5,5,6,4,6,4,5,4,4,4,5,2,4,6,6,4,4,4,4
5fb2727f2942a58418fd0d2b,3,5,5,5,6,6,6,6,5,4,4,5,7,6,6,7,1,7,7,5,6
5c618b9f21fb620001408d79,3,5,3,3,5,3,3,5,3,3,5,3,6,7,6,7,1,2,7,5,5
5ead79a0f43b4441309657c9,5,4,6,5,5,4,5,6,6,7,2,6,7,4,6,7,1,3,6,3,2
5e676b124b800e000cb34228,3,3,5,5,6,6,6,6,5,3,6,3,4,2,3,6,1,2,7,5,6
5dc015e49db86f45df7a0077,5,5,5,6,6,5,6,6,2,3,4,4,2,1,2,6,6,2,6,2,5
5f4ec661bb2d6310d4f0917d,2,4,4,5,7,6,6,5,6,5,3,5,6,5,6,7,2,2,6,5,5
5f97259ff853640ac8065fd3,4,5,4,5,4,5,5,4,4,4,4,5,4,2,3,5,4,4,6,5,5
5fbd433cb6d9240ba9c55548,3,3,6,3,7,5,5,5,6,6,3,7,4,2,6,7,1,2,6,2,6
5fce7885f324540ad64e2297,3,5,5,5,7,5,5,5,6,5,3,6,5,4,4,5,2,3,5,5,5
5f5c79a330ec6f471bac45dc,5,6,5,5,3,4,5,5,5,6,4,5,5,6,5,7,3,4,6,5,6
5e4dc0e1506e2f222ce980be,4,5,6,5,4,4,4,4,5,5,3,6,6,3,6,5,2,2,6,5,6
5efb85865214c00f3f582de1,2,4,4,4,7,6,6,5,5,6,3,6,4,1,2,6,4,4,5,5,6
5eb14f05f30ede03a6ed7d27,2,3,4,2,3,4,5,5,4,6,2,6,4,6,4,7,1,1,4,2,5
5ec96e3609117f0a67231842,5,5,5,5,5,6,5,4,7,7,2,6,5,4,5,6,1,2,5,4,5
5f73427f244c770277ba2a5d,5,5,5,4,4,4,5,7,5,5,4,4,5,1,2,7,2,5,6,5,6
5f2339c2b41ba40eafd36953,3,4,3,3,5,5,5,4,4,5,3,5,5,2,4,6,4,3,5,1,2
5e152c33814bbab3e0eb7371,3,5,6,1,5,2,3,3,5,5,2,5,5,5,3,7,1,1,6,1,6
5c87a8183e93bf0001e1582c,5,4,5,4,7,5,7,6,3,5,4,5,6,5,6,7,3,2,5,4,4
5ef9e842779c727aa03b8354,5,2,6,3,6,5,5,6,6,6,2,6,7,6,3,7,1,2,7,6,6
5fb50f40340ae6117b78fa62,4,3,5,7,7,7,7,6,5,6,2,6,4,2,6,6,1,1,6,5,2
5ea6b76db2b9b602423a74ba,5,6,5,6,6,5,3,5,7,6,2,6,2,2,1,4,1,2,7,6,5
5e6e8144f49fd8000821e72f,5,6,5,5,5,3,3,5,7,6,1,6,5,5,5,6,4,6,4,5,7
5e9898fe07bacf0a1be91a71,5,5,4,4,4,2,2,2,6,5,4,5,1,1,4,5,2,4,2,2,2
5e72db2782efd522c37d4a77,5,4,4,5,5,4,4,4,5,5,3,5,4,3,5,5,1,4,5,5,5
5f4ff8efa8de8e14c2cd6e0b,1,2,1,1,7,7,6,5,7,5,2,6,4,4,3,7,1,3,1,1,1
5e2707ab5299ce926cdcc3d9,6,5,5,3,5,5,3,2,5,6,2,6,2,2,2,2,6,4,6,5,6
5f751b67f9a33b18498b9429,6,5,5,5,6,4,5,5,7,7,2,7,4,6,5,4,2,5,6,6,6
5f936c5531a30e1459f2d51b,5,6,6,5,7,5,5,7,6,5,5,5,7,7,5,5,5,1,6,4,4
5fa1c180c81f2833b188b00e,1,5,2,3,7,2,2,1,4,2,5,4,6,6,6,6,1,2,7,5,6
5f9742fcd891550f11b39df5,4,7,5,7,7,4,4,2,6,4,3,5,7,1,7,7,1,5,7,4,3
5fa547efe090751e68baced1,2,2,4,4,6,5,5,7,5,6,3,7,2,6,1,7,2,1,5,3,1
5f858743256d25036d9fa693,2,4,4,3,6,6,5,5,7,5,4,5,2,1,3,7,1,3,6,1,6
5d45dfff082935001aed2fe7,5,6,6,4,5,5,4,4,3,6,1,6,6,2,4,4,5,5,5,4,6
5faaebb272441153516e1b27,4,5,5,5,6,5,5,5,3,3,4,3,5,4,2,6,2,2,6,5,6
5f24289ed102ed000b9f98b0,4,5,5,3,2,2,3,3,6,7,2,5,4,3,2,7,1,4,6,3,2